Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""sedekah online/input_Nama lengkap (di sedekah online)""), namaLengkap)",Firefox 117.0,,,2023-09-29 11:09:21,2023-09-29 11:09:22,1.203s,PASSED
"setText(findTestObject(""sedekah online/input_No Handphone (di sedekah online)""), noHp)",Firefox 117.0,,,2023-09-29 11:09:23,2023-09-29 11:09:24,1.152s,PASSED
"setText(findTestObject(""sedekah online/input_Alamat Email (di sedekah online)""), email)",Firefox 117.0,,,2023-09-29 11:09:24,2023-09-29 11:09:25,1.231s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/sedekah online/dropdown metode pembayaraan""), pembayaran, false)",Firefox 117.0,,,2023-09-29 11:09:25,2023-09-29 11:09:26,0.872s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/sedekah online/sedekah ditunjukan untuk keluarga""), sedekahUntuk, false)",Firefox 117.0,,,2023-09-29 11:09:26,2023-09-29 11:09:27,0.892s,PASSED
"setText(findTestObject(""sedekah online/input isi doa terbaik anda""), doa)",Firefox 117.0,,,2023-09-29 11:09:27,2023-09-29 11:09:28,1.482s,PASSED
"setText(findTestObject(""sedekah online/input 2 digit terakhir nomor hp""), digitAkhir)",Firefox 117.0,,,2023-09-29 11:09:28,2023-09-29 11:09:29,0.871s,PASSED
"click(findTestObject(""sedekah online/button_Sedekah Sekarang""))",Firefox 117.0,,,2023-09-29 11:09:29,2023-09-29 11:09:31,1.659s,PASSED
webDriver = getWebDriver(),Firefox 117.0,,,2023-09-29 11:09:31,2023-09-29 11:09:31,0.002s,PASSED
"field_doa = webDriver.findElement(By.xpath(""//textarea[@name=""doa_terbaik""]""))",Firefox 117.0,,,2023-09-29 11:09:31,2023-09-29 11:09:31,0.617s,PASSED
"validationMessage = executeJavaScript(""return arguments[0].validationMessage"", Arrays.asList(field_doa))",Firefox 117.0,,,2023-09-29 11:09:31,2023-09-29 11:09:32,0.204s,PASSED
"assert validationMessage == ""Maximum length of this field must be equal or greater than 150 symbols""",Firefox 117.0,,,2023-09-29 11:09:32,2023-09-29 11:09:32,0.010s,FAILED
,,,,,,,
Test Cases/T05 - Sedekah Online/TC-SO-010,Firefox 117.0,User melakukan sedekah online dengan menginputkan nomor handphone hanya mengandung huruf,,2023-09-29 11:09:32,2023-09-29 11:09:59,27.138s,PASSED
openBrowser(urlWeb),Firefox 117.0,,,2023-09-29 11:09:33,2023-09-29 11:09:45,12.196s,PASSED
maximizeWindow(),Firefox 117.0,,,2023-09-29 11:09:45,2023-09-29 11:09:46,0.092s,PASSED
"click(findTestObject(""sedekah online/a_Donasi (di halaman utama)""))",Firefox 117.0,,,2023-09-29 11:09:46,2023-09-29 11:09:46,0.775s,PASSED
"verifyElementClickable(findTestObject(""sedekah online/a_Sedekah Online""), STOP_ON_FAILURE)",Firefox 117.0,,,2023-09-29 11:09:46,2023-09-29 11:09:47,0.639s,PASSED
"click(findTestObject(""sedekah online/a_Sedekah Online""))",Firefox 117.0,,,2023-09-29 11:09:47,2023-09-29 11:09:48,1.346s,PASSED
